epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6986348032951355,9.999999747378752e-06,0.8247591257095337,0.7158470153808594,0.730441153049469
1,0.7279863357543945,9.999999747378752e-06,0.7541784048080444,0.7240437269210815,0.7048661708831787
2,0.7372013926506042,9.999999747378752e-06,0.7121847867965698,0.7377049326896667,0.6678270101547241
3,0.7348122596740723,9.999999747378752e-06,0.6912755370140076,0.7103825211524963,0.7386311888694763
4,0.7464163899421692,9.999999747378752e-06,0.6599997878074646,0.7404371500015259,0.6677410006523132
5,0.7508532404899597,9.999999747378752e-06,0.6497162580490112,0.7295082211494446,0.6800711154937744
6,0.762116014957428,4.999999873689376e-06,0.6164933443069458,0.7349726557731628,0.6524627208709717
7,0.7802047729492188,4.999999873689376e-06,0.5869352221488953,0.7622950673103333,0.6063711643218994
8,0.7784982919692993,4.999999873689376e-06,0.5854947566986084,0.7459016442298889,0.6504202485084534
9,0.7856655120849609,4.999999873689376e-06,0.5712797045707703,0.7650273442268372,0.6107555627822876
10,0.785324215888977,4.999999873689376e-06,0.5671430230140686,0.7295082211494446,0.7106319665908813
11,0.7918089032173157,2.499999936844688e-06,0.5538133978843689,0.7677595615386963,0.6056975722312927
12,0.7962457537651062,2.499999936844688e-06,0.5360015630722046,0.7896174788475037,0.5797419548034668
13,0.7952218651771545,2.499999936844688e-06,0.5390822887420654,0.7732240557670593,0.5873857736587524
14,0.7887371778488159,2.499999936844688e-06,0.5420789122581482,0.7704917788505554,0.5873506665229797
15,0.7901023626327515,2.499999936844688e-06,0.5426441431045532,0.7540983557701111,0.6527963876724243
16,0.8017064929008484,1.249999968422344e-06,0.5216500759124756,0.7841529846191406,0.5800893902778625
17,0.8037542700767517,1.249999968422344e-06,0.5129068493843079,0.7650273442268372,0.6095378994941711
18,0.8122866749763489,1.249999968422344e-06,0.5134046077728271,0.7841529846191406,0.5909730792045593
19,0.8020477890968323,6.24999984211172e-07,0.5115445852279663,0.7923497557640076,0.5768945217132568
20,0.805802047252655,6.24999984211172e-07,0.5089232325553894,0.7868852615356445,0.591663658618927
21,0.8068259358406067,6.24999984211172e-07,0.5076115131378174,0.7978141903877258,0.5805341601371765
22,0.8081911206245422,6.24999984211172e-07,0.5089470148086548,0.7622950673103333,0.6161763072013855
23,0.818088710308075,3.12499992105586e-07,0.499041348695755,0.7841529846191406,0.5796124339103699
24,0.8047781586647034,3.12499992105586e-07,0.5071724057197571,0.7978141903877258,0.5692309737205505
25,0.8068259358406067,3.12499992105586e-07,0.4973118305206299,0.7732240557670593,0.5952290892601013
26,0.8051194548606873,3.12499992105586e-07,0.5019626021385193,0.7950819730758667,0.575110912322998
27,0.8133105635643005,3.12499992105586e-07,0.49277859926223755,0.7704917788505554,0.5969547033309937
28,0.8129692673683167,1.56249996052793e-07,0.49670568108558655,0.7896174788475037,0.5779412388801575
29,0.8085324168205261,1.56249996052793e-07,0.4980086386203766,0.7896174788475037,0.5741689801216125
